,,Arsenal,DrCIF,HC1,HC2,TDE,CBOSS, CIF, DTW_A, DTW_D, DTW_I, gRSF, InceptionTime, mrseql, MUSE, ResNet, RISE, ROCKET, STC, TapNet, TSF
ArticularyWordRecognition,,0.993333,0.98,0.99,0.993333,0.993333,0.99,0.983333,0.986667,0.986667,0.953333,0.983333,0.983333,0.993333,0.993333,0.98,0.963333,0.993333,0.99,0.956667,0.953333
AtrialFibrillation       ,,0.133333,0.333333,0.133333,0.266667,0.266667,0.266667,0.333333,0.266667,0.2,0.266667,0.266667,0.2,0.266667,0.4,0.333333,0.266667,0.066667,0.266667,0.2,0.2
BasicMotions             ,,1,1,1,1,1,1,1,1,0.975,0.725,1,1,0.925,1,1,1,1,0.975,1,1
Cricket                  ,,1,0.986111,0.986111,1,0.986111,0.986111,0.986111,1,1,0.958333,0.986111,0.986111,0.986111,0.986111,0.986111,0.986111,1,0.986111,1,0.930556
DuckDuckGeese            ,,0.46,0.54,0.48,0.56,0.34,0.38,0.44,0.5,0.58,0.3,0.4,nan,nan,nan,0.62,0.46,0.52,0.36,nan,0.22
EigenWorms               ,,0.900763,0.923664,0.633588,0.946565,0.938931,0.618321,0.916031,nan,0.618321,0.59542,0.816794,nan,nan,nan,0.175573,0.816794,0.908397,0.778626,nan,0.740458
Epilepsy                 ,,0.985507,0.978261,1,1,0.992754,1,0.985507,0.978261,0.963768,0.630435,0.978261,0.985507,1,0.992754,0.992754,1,0.992754,0.992754,0.956522,0.978261
EthanolConcentration     ,,0.460076,0.692015,0.790875,0.771863,0.555133,0.361217,0.73384,0.315589,0.323194,0.304183,0.346008,0.231939,0.574144,0.475285,0.258555,0.486692,0.444867,0.821293,0.307985,0.444867
ERing                    ,,0.981481,0.992593,0.97037,0.988889,0.962963,0.907407,0.981481,0.925926,0.914815,0.911111,0.951852,0.877778,0.944444,0.974074,0.855556,0.859259,0.985185,0.888889,0.903704,0.881481
FaceDetection            ,,0.653235,0.620034,0.656356,0.660329,0.564415,0.515891,0.627128,0.528377,0.528661,0.515891,0.547673,nan,nan,nan,0.587684,0.507946,0.643871,0.646141,nan,0.639614
FingerMovements          ,,0.53,0.6,0.55,0.53,0.56,0.48,0.52,0.51,0.53,0.51,0.58,0.56,0.57,0.55,0.57,0.56,0.54,0.51,0.47,0.58
HandMovementDirection    ,,0.472973,0.527027,0.445946,0.472973,0.378378,0.189189,0.594595,0.202703,0.189189,0.189189,0.418919,0.364865,0.27027,0.364865,0.243243,0.297297,0.513514,0.391892,0.337838,0.486486
Handwriting              ,,0.541176,0.345882,0.482353,0.548235,0.561176,0.471765,0.356471,0.607059,0.607059,0.376471,0.375294,0.642353,0.532941,0.522353,0.590588,0.194118,0.595294,0.288235,0.281176,0.365882
Heartbeat                ,,0.741463,0.790244,0.721951,0.731707,0.746341,0.721951,0.780488,0.692683,0.717073,0.614634,0.760976,0.580488,0.736585,0.712195,0.687805,0.731707,0.746341,0.721951,0.790244,0.741463
Libras                   ,,0.905556,0.894444,0.9,0.933333,0.85,0.844444,0.911111,0.883333,0.872222,0.833333,0.694444,0.888889,0.888889,0.894444,0.944444,0.805556,0.9,0.861111,0.877778,0.805556
LSST                     ,,0.642336,0.555961,0.575426,0.642741,0.570154,0.434712,0.572587,0.567315,0.551095,0.489862,0.588402,0.612328,0.611922,0.639903,0.619627,0.508921,0.636659,0.58678,0.512571,0.350365
MotorImagery             ,,0.53,0.44,0.61,0.54,0.59,0.59,0.5,0.5,0.5,0.36,0.5,nan,nan,nan,0.53,0.55,0.58,0.5,nan,0.48
NATOPS                   ,,0.883333,0.844444,0.888889,0.894444,0.838889,0.861111,0.855556,0.883333,0.883333,0.816667,0.844444,0.961111,0.872222,0.905556,0.977778,0.838889,0.888889,0.872222,0.811111,0.8
PenDigits                ,,0.982561,0.976558,0.933962,0.979131,0.935392,0.908233,0.96741,0.97713,0.97713,0.972556,0.935392,0.987707,0.94454,0.966838,0.98542,0.831904,0.983133,0.940537,0.855632,0.892224
PEMS-SF                  ,,0.82659,1,0.982659,1,1,0.982659,1,0.734104,0.710983,0.739884,0.907514,nan,nan,nan,0.797688,0.99422,0.83237,0.971098,nan,0.982659
PhonemeSpectra           ,,0.276767,0.307784,0.320608,0.290486,0.246048,0.194751,0.265434,0.151208,0.151208,0.104682,0.223979,nan,nan,nan,0.30003,0.269311,0.275574,0.29496,nan,0.137191
RacketSports             ,,0.901316,0.901316,0.888158,0.907895,0.835526,0.881579,0.881579,0.842105,0.802632,0.848684,0.881579,0.881579,0.894737,0.927632,0.907895,0.809211,0.894737,0.888158,0.875,0.888158
SelfRegulationSCP1       ,,0.846416,0.877133,0.853242,0.890785,0.812287,0.805461,0.860068,0.784983,0.774744,0.774744,0.822526,0.83959,0.761092,0.696246,0.767918,0.723549,0.843003,0.83959,0.935154,0.83959
SelfRegulationSCP2       ,,0.494444,0.494444,0.461111,0.5,0.5,0.488889,0.5,0.522222,0.538889,0.472222,0.516667,0.472222,0.466667,0.527778,0.466667,0.494444,0.572222,0.533333,0.483333,0.483333
StandWalkJump            ,,0.533333,0.533333,0.333333,0.466667,0.333333,0.333333,0.4,0.333333,0.2,0.266667,0.333333,0.4,0.333333,0.266667,0.333333,0.266667,0.533333,0.466667,0.133333,0.333333
UWaveGestureLibrary      ,,0.928125,0.909375,0.890625,0.928125,0.925,0.85625,0.925,0.9,0.903125,0.865625,0.896875,0.878125,0.91875,0.93125,0.865625,0.684375,0.940625,0.85,0.9,0.775
